Date,Load_Power(kW)
12/7/2021,7.416666667
12/8/2021,7.9625
12/9/2021,7.991666667
12/10/2021,8.166666667
12/11/2021,8.266666667
12/12/2021,8.133333333
12/13/2021,7.783333333
12/14/2021,7.720833333
12/15/2021,8.208333333
12/16/2021,8.316666667
12/17/2021,8.033333333
12/18/2021,8.233333333
12/19/2021,8.2375
12/20/2021,8.354166667
12/21/2021,8.104166667
12/22/2021,8.4625
12/23/2021,6.066666667
12/24/2021,6.208333333
12/25/2021,6.1
12/26/2021,6.2125
12/27/2021,6.25
12/28/2021,6.116666667
12/29/2021,6.1125
12/30/2021,6.066666667
12/31/2021,6.208333333
1/1/2022,6.1
1/2/2022,6.2125
1/3/2022,6.25
1/4/2022,6.116666667
1/5/2022,6.1125
1/6/2022,6.845833333
1/7/2022,7.191666667
1/8/2022,7.858333333
1/9/2022,7.808333333
1/10/2022,7.916666667
1/11/2022,8.004166667
1/12/2022,7.979166667
1/13/2022,7.691666667
1/14/2022,7.416666667
1/15/2022,7.9625
1/16/2022,7.991666667
1/17/2022,8.166666667
1/18/2022,8.266666667
1/19/2022,8.133333333
1/20/2022,7.783333333
1/21/2022,7.720833333
1/22/2022,8.208333333
1/23/2022,8.316666667
1/24/2022,8.033333333
1/25/2022,8.233333333
1/26/2022,8.2375
1/27/2022,8.354166667
1/28/2022,8.104166667
1/29/2022,8.4625
1/30/2022,8.479166667
1/31/2022,8.054166667
2/1/2022,6.675
2/2/2022,6.579166667
2/3/2022,6.504166667
2/4/2022,6.770833333
2/5/2022,6.8375
2/6/2022,6.866666667
2/7/2022,6.841666667
2/8/2022,6.666666667
2/9/2022,6.541666667
2/10/2022,6.566666667
2/11/2022,7.041666667
2/12/2022,6.9875
2/13/2022,7.179166667
2/14/2022,6.841666667
2/15/2022,6.970833333
2/16/2022,6.766666667
2/17/2022,6.691666667
2/18/2022,6.925
2/19/2022,6.745833333
2/20/2022,6.7125
2/21/2022,6.595833333
2/22/2022,6.466666667
2/23/2022,6.179166667
2/24/2022,6.066666667
2/25/2022,6.208333333
2/26/2022,6.1
2/27/2022,6.2125
2/28/2022,6.25
3/1/2022,6.675
3/2/2022,6.579166667
3/3/2022,6.504166667
3/4/2022,6.770833333
3/5/2022,6.8375
3/6/2022,6.866666667
3/7/2022,6.841666667
3/8/2022,6.666666667
3/9/2022,6.541666667
3/10/2022,6.566666667
3/11/2022,7.041666667
3/12/2022,6.9875
3/13/2022,7.179166667
3/14/2022,6.841666667
3/15/2022,6.970833333
3/16/2022,6.766666667
3/17/2022,6.691666667
3/18/2022,6.925
3/19/2022,6.745833333
3/20/2022,6.7125
3/21/2022,6.595833333
3/22/2022,6.466666667
3/23/2022,6.179166667
3/24/2022,6.066666667
3/25/2022,6.208333333
3/26/2022,6.1
3/27/2022,6.2125
3/28/2022,6.25
3/29/2022,6.116666667
3/30/2022,6.1125
3/31/2022,6.008333333
4/1/2022,6.675
4/2/2022,6.579166667
4/3/2022,6.504166667
4/4/2022,6.770833333
4/5/2022,6.8375
4/6/2022,6.866666667
4/7/2022,6.841666667
4/8/2022,6.666666667
4/9/2022,6.541666667
4/10/2022,6.566666667
4/11/2022,7.041666667
4/12/2022,6.9875
4/13/2022,7.179166667
4/14/2022,6.841666667
4/15/2022,6.970833333
4/16/2022,6.766666667
4/17/2022,6.691666667
4/18/2022,6.925
4/19/2022,6.745833333
4/20/2022,6.7125
4/21/2022,6.595833333
4/22/2022,6.466666667
4/23/2022,6.179166667
4/24/2022,6.066666667
4/25/2022,6.208333333
4/26/2022,6.1
4/27/2022,6.2125
4/28/2022,6.25
4/29/2022,6.116666667
4/30/2022,6.1125
5/1/2022,6.675
5/2/2022,6.579166667
5/3/2022,6.504166667
5/4/2022,6.770833333
5/5/2022,6.8375
5/6/2022,6.866666667
5/7/2022,6.841666667
5/8/2022,6.666666667
5/9/2022,6.541666667
5/10/2022,6.566666667
5/11/2022,7.041666667
5/12/2022,6.9875
5/13/2022,7.179166667
5/14/2022,6.841666667
5/15/2022,6.970833333
5/16/2022,6.766666667
5/17/2022,6.691666667
